年龄,工作情况,教育,教育时间,婚姻状况,职业类型,家庭角色,民族,性别,投资收入,投资损失,工作天数,省份,Y
28,个体,高中生,9,未婚,其他职业,离家,民族D,男,0,0,60,省份8,0
24,个体,高中生,9,离婚,管理文书,离家,民族D,女,0,0,32,省份8,0
20,未知,大学未毕业,10,未婚,未知,孩子,民族D,女,0,0,40,省份8,0
32,个体,高中生,9,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份8,0
24,个体,大学未毕业,10,已婚平民配偶,劳工保洁,丈夫,民族D,男,0,0,30,省份8,0
34,个体,大学未毕业,10,已婚平民配偶,劳工保洁,丈夫,民族D,男,0,0,50,省份8,0
29,个体,大学未毕业,10,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份8,0
49,个体,大学生,13,离婚,执行主管,离家,民族D,女,0,0,40,省份8,0
23,个体,准职业学位,11,未婚,手工艺维修,离家,民族D,男,0,0,40,省份8,0
36,个体,高二,7,已婚配偶异地,手工艺维修,离家,民族A,男,0,0,40,省份8,0
22,个体,高中生,9,未婚,执行主管,离家,民族D,男,0,0,40,省份27,0
31,个体,研究生,14,已婚平民配偶,执行主管,丈夫,民族D,男,0,2415,70,省份30,1
43,中央部委,高中生,9,未婚,手工艺维修,未婚,民族D,男,0,0,40,省份8,0
26,个体,小学5、6年级,3,未婚,劳工保洁,离家,民族D,男,0,0,40,省份22,0
53,个体,大学专科,12,未婚,执行主管,离家,民族D,女,0,0,60,省份8,0
52,个体,高中生,9,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份8,0
17,从未工作,高二,7,未婚,未知,孩子,民族A,女,0,0,20,省份8,0
48,个体,高中生,9,丧偶,销售,未婚,民族D,女,0,0,37,省份8,0
39,个体,大学未毕业,10,已婚平民配偶,销售,丈夫,民族D,男,0,0,40,省份8,1
25,个体,高中生,9,未婚,运输,未婚,民族D,男,0,0,52,省份8,0
28,个体,大学生,13,已婚平民配偶,销售,丈夫,民族D,男,0,0,50,省份8,0
28,个体,大学未毕业,10,未婚,其他职业,离家,民族D,男,0,0,40,省份8,0
26,个体,高中生,9,未婚,其他职业,离家,民族A,男,0,0,40,省份8,0
22,个体,大学未毕业,10,未婚,手工艺维修,离家,民族D,男,0,0,40,省份8,0
39,个体,大学生,13,已婚平民配偶,管理文书,丈夫,民族B,男,0,0,40,省份17,1
43,个体,大学未毕业,10,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份8,1
32,非有限责任公司,大学生,13,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份8,0
35,个体,大学未毕业,10,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份8,0
35,个体,高中生,9,未婚,销售,孩子,民族D,女,0,0,29,省份8,0
53,个体,大学未毕业,10,丧偶,管理文书,其他关系,民族D,女,0,0,22,省份8,0
51,个体,大学未毕业,10,未婚,运输,离家,民族D,男,0,0,30,省份8,0
39,个体,大学生,13,已婚平民配偶,专业技术,妻子,民族D,女,0,0,20,省份8,1
32,省政府,高中生,9,分居,机械操作,离家,民族A,男,0,0,46,省份8,0
25,个体,大学专科,12,未婚,技术支持,孩子,民族D,女,0,0,40,省份8,0
57,省政府,研究生,14,已婚平民配偶,执行主管,丈夫,民族A,男,15024,0,40,省份8,1
23,个体,准职业学位,11,未婚,其他职业,离家,民族D,女,0,0,40,省份8,0
50,个体,大学生,13,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,30,省份8,0
35,有限责任公司,大学生,13,未婚,执行主管,离家,民族D,女,0,0,60,省份8,1
47,个体,高中生,9,未婚,运输,离家,民族D,男,0,0,45,省份8,0
19,个体,大学未毕业,10,未婚,销售,孩子,民族D,女,0,0,20,省份8,0
45,个体,大学专科,12,未婚,农业捕捞,离家,民族D,男,0,0,40,省份8,0
48,个体,大学生,13,已婚平民配偶,技术支持,丈夫,民族D,男,0,0,40,省份8,1
44,个体,准职业学位,11,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,50,省份8,1
55,个体,高中生,9,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份8,1
68,个体,大学生,13,已婚平民配偶,运输,丈夫,民族D,男,0,0,30,省份8,0
50,个体,高中生,9,已婚平民配偶,销售,丈夫,民族D,男,0,0,48,省份8,0
41,个体,大学未毕业,10,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,48,省份8,1
44,个体,大学未毕业,10,分居,手工艺维修,未婚,民族D,女,0,0,55,省份8,0
57,地方政府,大学生,13,已婚平民配偶,专业技术,丈夫,民族D,男,0,1902,40,省份8,1
48,个体,大学生,13,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,55,省份8,0
27,个体,高中生,9,已婚平民配偶,管理文书,丈夫,民族D,男,3464,0,45,省份8,0
34,个体,大学生,13,已婚平民配偶,执行主管,丈夫,民族D,男,0,0,40,省份8,1
40,个体,高中生,9,离婚,机械操作,离家,民族D,女,0,0,40,省份8,0
29,个体,大学未毕业,10,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,1485,40,省份8,1
39,地方政府,高中生,9,未婚,执行主管,孩子,民族C,女,0,0,40,省份8,0
35,个体,研究生,14,已婚平民配偶,执行主管,丈夫,民族D,男,0,0,40,省份8,0
47,地方政府,职高,15,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,35,省份8,0
18,未知,高二,7,未婚,未知,孩子,民族D,男,0,0,40,省份8,0
42,非有限责任公司,研究生,14,已婚平民配偶,销售,丈夫,民族D,男,99999,0,80,省份8,1
53,个体,大学未毕业,10,未婚,执行主管,离家,民族D,男,0,0,40,省份8,0
27,个体,研究生,14,未婚,执行主管,孩子,民族D,女,0,0,40,省份8,0
39,个体,高三,8,已婚平民配偶,运输,丈夫,民族D,男,15024,0,70,省份8,1
43,非有限责任公司,大学未毕业,10,已婚平民配偶,机械操作,妻子,民族D,女,0,0,50,省份8,0
42,未知,大学生,13,已婚平民配偶,未知,丈夫,民族A,男,2580,0,8,省份8,0
41,个体,高中生,9,已婚平民配偶,运输,丈夫,民族D,男,0,0,60,省份8,0
32,个体,高中生,9,未婚,机械操作,离家,民族A,女,0,0,40,省份8,0
37,个体,大学生,13,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,55,省份8,1
34,个体,高中生,9,未婚,管理文书,离家,民族D,女,0,0,36,省份8,0
33,中央部委,研究生,14,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,60,省份33,0
17,个体,高一,6,未婚,技术支持,孩子,民族D,男,0,0,10,省份8,0
28,个体,大学专科,12,已婚平民配偶,技术支持,丈夫,民族D,男,0,0,45,省份8,1
33,个体,大学专科,12,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,40,省份8,1
58,个体,高中生,9,已婚平民配偶,机械操作,丈夫,民族D,男,0,0,45,省份8,1
42,有限责任公司,大学生,13,未婚,专业技术,离家,民族D,男,0,0,40,省份8,0
32,地方政府,研究生,14,未婚,专业技术,离家,民族D,男,0,0,50,省份8,0
54,个体,高中生,9,已婚平民配偶,销售,丈夫,民族D,男,0,1848,40,省份8,1
18,有限责任公司,大学未毕业,10,未婚,管理文书,孩子,民族D,女,0,0,20,省份8,0
20,个体,高中生,9,未婚,销售,孩子,民族D,男,0,0,40,省份8,0
46,中央部委,大学未毕业,10,离婚,保安,未婚,民族C,女,0,0,40,省份8,0
21,个体,准职业学位,11,已婚平民配偶,农业捕捞,丈夫,民族D,男,0,0,46,省份8,0
22,地方政府,大学未毕业,10,未婚,专业技术,孩子,民族D,女,594,0,25,省份8,0
37,个体,高中生,9,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,40,省份13,0
18,个体,高二,7,未婚,其他职业,孩子,民族D,女,0,0,4,省份8,0
46,地方政府,研究生,14,未婚,专业技术,离家,民族D,女,0,0,40,省份8,0
32,个体,高一,6,未婚,手工艺维修,未婚,民族D,男,0,0,40,省份8,0
29,个体,高中生,9,已婚平民配偶,劳工保洁,丈夫,民族A,男,0,0,40,省份8,0
71,个体,研究生,14,离婚,专业技术,离家,民族D,女,0,0,15,省份12,0
20,个体,高中生,9,未婚,运输,其他关系,民族D,男,0,0,40,省份8,0
34,中央部委,研究生,14,已婚平民配偶,专业技术,妻子,民族A,女,0,0,40,省份8,1
45,个体,大学生,13,已婚平民配偶,执行主管,丈夫,民族D,男,15024,0,40,省份8,1
55,省政府,高中生,9,已婚平民配偶,保安,丈夫,民族D,男,0,0,40,省份8,0
65,非有限责任公司,研究生,14,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,39,省份8,1
55,个体,研究生,14,已婚平民配偶,技术支持,丈夫,民族D,男,0,1977,20,省份8,1
53,个体,博士,16,离婚,执行主管,离家,民族D,女,0,0,55,省份8,1
48,个体,小学3年级,2,已婚平民配偶,农业捕捞,丈夫,民族D,男,3781,0,50,省份22,0
18,个体,高二,7,未婚,专业技术,孩子,民族D,女,0,0,40,省份8,0
57,未知,准职业学位,11,已婚平民配偶,未知,妻子,民族D,女,0,0,5,省份8,0
55,有限责任公司,高中生,9,已婚平民配偶,执行主管,丈夫,民族D,男,0,0,45,省份8,0
45,个体,高中生,9,已婚平民配偶,管理文书,丈夫,民族D,男,0,0,40,省份8,1
28,中央部委,高中生,9,分居,其他职业,孩子,民族D,女,0,0,11,省份8,0
44,个体,高一,6,未婚,农业捕捞,未婚,民族D,男,0,0,35,省份8,0
37,个体,高中生,9,未婚,运输,离家,民族A,男,0,0,45,省份8,0
64,无收入,高中生,9,已婚平民配偶,劳工保洁,丈夫,民族D,男,0,0,60,省份8,1
36,个体,大学未毕业,10,未婚,机械操作,孩子,民族D,男,0,0,40,省份8,0
21,未知,大学未毕业,10,未婚,未知,孩子,民族D,女,0,0,35,省份8,0
29,个体,大学未毕业,10,未婚,专业技术,离家,民族D,男,0,0,45,省份8,0
61,个体,高中生,9,分居,运输,未婚,民族B,男,0,0,45,省份8,1
18,个体,大学未毕业,10,未婚,其他职业,孩子,民族D,女,0,0,20,省份22,0
37,个体,大学生,13,未婚,手工艺维修,离家,民族D,男,0,0,40,省份8,0
44,个体,大学未毕业,10,离婚,农业捕捞,离家,民族D,女,0,0,40,省份8,0
34,个体,大学未毕业,10,未婚,执行主管,离家,民族D,女,0,0,40,省份8,0
52,个体,高中生,9,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份8,1
33,个体,高二,7,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份22,0
67,未知,小学5、6年级,3,丧偶,未知,未婚,民族A,女,0,0,40,省份8,0
39,个体,大学未毕业,10,未婚,管理文书,离家,民族D,女,0,0,40,省份8,0
44,个体,大学生,13,已婚平民配偶,管理文书,丈夫,民族D,男,3103,0,40,省份8,1
45,个体,研究生,14,已婚平民配偶,销售,丈夫,民族D,男,0,0,50,省份8,1
21,个体,大学未毕业,10,未婚,管理文书,孩子,民族B,男,0,0,20,省份8,0
46,非有限责任公司,大学生,13,已婚平民配偶,销售,丈夫,民族D,男,0,0,50,省份8,1
39,省政府,大学未毕业,10,已婚平民配偶,管理文书,丈夫,民族D,男,0,0,48,省份8,0
48,个体,准职业学位,11,已婚平民配偶,劳工保洁,丈夫,民族D,男,5013,0,40,省份8,0
46,中央部委,准职业学位,11,离婚,管理文书,未婚,民族D,女,0,0,38,省份8,0
17,个体,高二,7,未婚,其他职业,其他关系,民族D,女,0,0,12,省份8,0
52,中央部委,大学专科,12,已婚平民配偶,销售,丈夫,民族D,男,0,0,40,省份8,1
36,个体,高中生,9,离婚,销售,离家,民族D,女,0,0,40,省份8,0
23,个体,高中生,9,未婚,其他职业,离家,民族A,女,0,0,50,省份29,0
50,个体,大学未毕业,10,离婚,管理文书,离家,民族D,女,0,0,40,省份8,0
27,个体,大学生,13,未婚,专业技术,离家,民族D,男,0,0,50,省份8,0
35,个体,大学生,13,已婚平民配偶,管理文书,丈夫,民族D,男,0,0,40,省份8,1
30,个体,大学未毕业,10,已婚平民配偶,管理文书,丈夫,民族D,男,0,0,30,省份8,0
48,个体,高中生,9,丧偶,执行主管,离家,民族D,男,14084,0,45,省份8,1
46,非有限责任公司,高中生,9,已婚平民配偶,销售,丈夫,民族D,男,0,0,50,省份8,0
46,个体,大学未毕业,10,已婚平民配偶,机械操作,丈夫,民族D,男,0,0,40,省份8,0
34,个体,大学专科,12,未婚,执行主管,孩子,民族D,女,0,0,50,省份8,0
26,个体,大学未毕业,10,未婚,其他职业,孩子,民族D,女,0,0,45,省份8,0
19,个体,大学未毕业,10,未婚,手工艺维修,孩子,民族D,女,0,0,40,省份8,0
53,个体,研究生,14,离婚,专业技术,离家,民族D,女,0,0,40,省份8,0
53,个体,高中生,9,已婚平民配偶,管理文书,丈夫,民族D,男,0,0,50,省份8,0
37,个体,高中生,9,已婚平民配偶,其他职业,妻子,民族D,女,0,0,30,省份8,1
37,中央部委,大学生,13,已婚平民配偶,执行主管,丈夫,民族D,男,0,0,50,省份8,1
51,个体,高中生,9,未婚,管理文书,离家,民族D,女,0,0,35,省份8,0
59,个体,高中生,9,已婚平民配偶,机械操作,妻子,民族D,女,0,0,40,省份35,1
22,个体,高中生,9,已婚平民配偶,销售,丈夫,民族A,男,0,0,20,省份8,0
42,个体,研究生,14,离婚,销售,离家,民族D,男,0,0,50,省份8,0
56,非有限责任公司,大学未毕业,10,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,50,省份8,1
61,个体,初中一、二年级,4,离婚,其他职业,未婚,民族D,女,0,0,40,省份8,0
50,非有限责任公司,高中生,9,已婚平民配偶,其他职业,丈夫,民族B,男,0,0,60,省份20,0
32,个体,大学生,13,分居,技术支持,离家,民族A,男,0,0,40,省份8,0
28,地方政府,大学未毕业,10,已婚平民配偶,保安,丈夫,民族D,男,0,0,40,省份8,0
34,个体,高一,6,分居,其他职业,未婚,民族D,女,0,0,36,省份8,0
41,个体,高中生,9,离婚,劳工保洁,孩子,民族D,女,2597,0,40,省份8,0
20,个体,大学未毕业,10,未婚,管理文书,孩子,民族D,男,0,0,14,省份8,0
39,个体,大学未毕业,10,离婚,机械操作,离家,民族D,女,0,0,25,省份8,0
58,个体,大学生,13,未婚,专业技术,离家,民族D,女,0,0,62,省份33,0
37,个体,大学生,13,已婚平民配偶,农业捕捞,丈夫,民族D,男,0,0,50,省份8,0
39,个体,高中生,9,未婚,手工艺维修,离家,民族D,男,0,1564,50,省份8,1
34,个体,高三,8,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,59,省份8,1
35,个体,大学未毕业,10,未婚,执行主管,离家,民族D,男,0,0,50,省份8,0
55,个体,高中生,9,已婚平民配偶,运输,丈夫,民族D,男,0,0,35,省份8,0
30,个体,高中生,9,未婚,手工艺维修,孩子,民族D,男,0,0,40,省份8,0
57,个体,高中生,9,已婚配偶异地,手工艺维修,离家,民族D,男,4650,0,40,省份8,0
47,个体,高中生,9,已婚平民配偶,技术支持,丈夫,民族D,男,0,0,40,省份8,0
59,地方政府,高中生,9,丧偶,农业捕捞,未婚,民族D,男,0,2339,40,省份8,0
57,个体,大学未毕业,10,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份8,0
60,个体,大学未毕业,10,已婚平民配偶,专业技术,丈夫,民族D,男,7298,0,40,省份8,1
44,个体,高中生,9,未婚,手工艺维修,离家,民族A,男,0,0,60,省份8,0
38,中央部委,大学生,13,已婚平民配偶,执行主管,妻子,民族A,女,0,0,30,省份8,1
47,地方政府,大学专科,12,已婚平民配偶,保安,丈夫,民族D,男,0,0,40,省份8,1
46,个体,大学未毕业,10,已婚平民配偶,销售,丈夫,民族A,男,0,1977,60,省份8,1
39,个体,大学未毕业,10,已婚平民配偶,管理文书,丈夫,民族D,男,15024,0,40,省份8,1
34,个体,高中生,9,已婚平民配偶,运输,丈夫,民族D,男,0,0,40,省份8,0
47,个体,研究生,14,离婚,专业技术,未婚,民族D,女,0,0,40,省份8,1
26,个体,大学生,13,未婚,专业技术,离家,民族D,男,0,0,70,省份8,0
59,未知,初三,5,已婚平民配偶,未知,妻子,民族A,女,0,0,32,省份8,0
39,个体,大学生,13,未婚,销售,离家,民族D,女,8614,0,50,省份8,1
41,个体,研究生,14,未婚,专业技术,离家,民族D,女,27828,0,35,省份8,1
32,个体,高中生,9,未婚,运输,孩子,民族D,男,0,0,40,省份8,0
41,个体,大学未毕业,10,已婚平民配偶,机械操作,丈夫,民族D,男,0,0,40,省份8,0
42,个体,高中生,9,离婚,执行主管,孩子,民族D,男,0,0,40,省份8,0
39,个体,高中生,9,已婚平民配偶,农业捕捞,丈夫,民族D,男,0,0,24,省份8,0
49,有限责任公司,大学生,13,已婚平民配偶,执行主管,丈夫,民族D,男,0,0,50,省份8,1
50,个体,准职业学位,11,已婚平民配偶,技术支持,丈夫,民族D,男,0,0,38,省份8,1
19,未知,大学未毕业,10,未婚,未知,孩子,民族D,女,0,0,25,省份8,0
67,个体,研究生,14,已婚配偶异地,执行主管,离家,民族D,男,0,0,55,省份8,1
52,未知,高中生,9,已婚平民配偶,未知,丈夫,民族D,男,0,0,45,省份8,0
59,个体,大学生,13,已婚平民配偶,专业技术,丈夫,民族D,男,15024,0,40,省份8,1
45,有限责任公司,职高,15,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,55,省份8,1
41,个体,研究生,14,已婚平民配偶,执行主管,丈夫,民族D,男,0,1977,65,省份8,1
36,个体,大学未毕业,10,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,50,省份8,1
47,个体,研究生,14,已婚平民配偶,专业技术,妻子,民族D,女,7688,0,40,省份8,1
46,个体,大学未毕业,10,分居,销售,离家,民族D,男,0,0,42,省份8,0
35,个体,大学生,13,已婚平民配偶,执行主管,丈夫,民族D,男,0,0,40,省份8,1
46,中央部委,大学未毕业,10,已婚平民配偶,执行主管,丈夫,民族D,男,7688,0,38,省份8,1
74,非有限责任公司,大学专科,12,已婚平民配偶,执行主管,丈夫,民族D,男,0,0,30,省份8,1
34,个体,高中生,9,离婚,机械操作,未婚,民族D,女,0,0,40,省份8,0
23,个体,高中生,9,未婚,技术支持,孩子,民族D,女,0,0,40,省份8,0
28,个体,高中生,9,离婚,销售,其他关系,民族D,男,0,0,50,省份8,0
32,个体,小学5、6年级,3,已婚平民配偶,机械操作,丈夫,民族D,男,0,0,48,省份8,0
55,未知,大学专科,12,已婚配偶异地,未知,离家,民族D,女,0,0,5,省份8,0
23,未知,高二,7,未婚,未知,离家,民族A,男,0,0,40,省份8,0
36,未知,高中生,9,已婚平民配偶,未知,丈夫,民族D,男,3464,0,30,省份8,0
47,中央部委,大学生,13,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,45,省份8,1
23,个体,高中生,9,未婚,执行主管,离家,民族D,女,0,0,40,省份8,0
55,地方政府,大学生,13,已婚平民配偶,专业技术,妻子,民族D,女,0,0,60,省份8,0
31,非有限责任公司,大学生,13,已婚平民配偶,执行主管,妻子,民族D,女,0,1902,40,省份8,1
56,个体,初三,5,丧偶,机械操作,未婚,民族D,女,0,0,40,省份8,0
49,非有限责任公司,初三,5,离婚,其他职业,离家,民族D,女,0,0,20,省份8,0
66,个体,高中生,9,丧偶,家政服务,离家,民族D,女,0,0,50,省份24,0
21,非有限责任公司,高中生,9,未婚,其他职业,孩子,民族D,女,0,0,50,省份8,0
47,个体,高中生,9,已婚平民配偶,销售,丈夫,民族D,男,0,0,40,省份23,0
19,个体,高二,7,未婚,其他职业,其他关系,民族D,男,0,0,20,省份8,0
53,个体,大学未毕业,10,已婚平民配偶,执行主管,丈夫,民族D,男,0,0,50,省份8,1
24,个体,大学生,13,未婚,其他职业,离家,民族D,男,0,0,40,省份8,0
47,个体,高中生,9,已婚平民配偶,机械操作,妻子,民族D,女,0,0,40,省份13,0
43,省政府,大学生,13,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,40,省份8,0
30,有限责任公司,高中生,9,已婚平民配偶,执行主管,丈夫,民族D,男,0,0,45,省份8,0
36,省政府,大学生,13,未婚,执行主管,离家,民族D,女,0,0,40,省份8,0
24,个体,准职业学位,11,未婚,机械操作,孩子,民族D,男,0,0,40,省份8,0
23,个体,大学生,13,未婚,专业技术,离家,民族D,女,0,0,25,省份8,0
52,个体,高中生,9,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份8,0
44,非有限责任公司,研究生,14,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,40,省份8,0
33,个体,大学未毕业,10,未婚,管理文书,离家,民族D,女,0,0,40,省份8,0
31,省政府,高中生,9,未婚,劳工保洁,孩子,民族D,女,0,0,40,省份8,0
32,未知,高一,6,离婚,未知,离家,民族D,女,0,0,40,省份8,0
23,个体,高中生,9,离婚,其他职业,未婚,民族D,女,0,0,30,省份8,0
28,中央部委,研究生,14,离婚,专业技术,离家,民族D,男,0,0,10,省份31,0
52,个体,大学未毕业,10,已婚平民配偶,执行主管,丈夫,民族D,男,15024,0,45,省份8,1
48,个体,高中生,9,离婚,劳工保洁,离家,民族D,男,0,0,40,省份8,0
22,未知,大学未毕业,10,未婚,未知,孩子,民族D,男,0,0,40,省份8,0
19,未知,大学生,13,未婚,未知,孩子,民族A,女,0,0,40,省份25,0
38,个体,高中生,9,已婚平民配偶,执行主管,丈夫,民族D,男,0,0,60,省份8,1
17,个体,高二,7,未婚,其他职业,孩子,民族D,男,0,0,20,省份8,0
34,省政府,大学未毕业,10,离婚,技术支持,离家,民族D,女,0,0,40,省份8,0
19,中央部委,大学未毕业,10,未婚,管理文书,其他关系,民族D,女,0,0,15,省份29,0
